PUNTO 1: estraete ed ordinate in ordine di frequenza decrescente, indicando anche la relativa frequenza
i 20 token più frequenti escludendo la punteggiatura del file positivo.txt : 
PUNTO 3:
File positivo.txt
Markov di ordine 0
	La frase con probabilità più alta: [u';', u')']
	probabilità: 0.00137994480221

Markov di ordine 1
	La frase con probabilità più alta: ;)
	probabilità: 0.000153327200245


File negativo.txt
Markov di ordine 0
	La frase con probabilità più alta: [u'I', u'suggest', u'you', u'try', u'some', u'Otis', u'Redding', u'instead', u'.']
	probabilità: 0.0

Markov di ordine 1
	La frase con probabilità più alta: I'm really disappointed.
	probabilità: 1.95277106025e-07
